Ont	Terms	Annotated	Significant	Expected	classic	Genes
BP	GO:0010959:Regulation of metal ion transport	394	19	1.22	4.2e-18	ADRB2,ATP1A2,ATP1B1,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNH2,KCNN2,NPPA,PDE4D,PRKACA,RYR2,SCN5A,SLC8A1,TGFB1,TRPC1
BP	GO:0006810:Transport	5221	48	16.22	5.1e-18	ABCC8,ABCC9,ADCY5,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,CLCN3,COL1A1,GJD3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TBX3,TGFB1,TRPC1
BP	GO:0055074:Calcium ion homeostasis	471	20	1.46	5.6e-18	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0055080:Cation homeostasis	732	23	2.27	7.6e-18	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,KCNH2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0098771:Inorganic ion homeostasis	743	23	2.31	1.1e-17	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,KCNH2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0086012:Membrane depolarization during cardiac muscle cell action potential	23	9	0.07	1.1e-17	ATP1A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,HCN4,SCN5A,SLC8A1
BP	GO:0071417:Cellular response to organonitrogen compound	653	22	2.03	1.1e-17	ADCY4,ADCY5,ADRB2,CACNA2D1,CASQ2,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,PDE2A,PDE4D,PPARGC1A,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0055065:Metal ion homeostasis	655	22	2.03	1.2e-17	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNH2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0072503:Cellular divalent inorganic cation homeostasis	493	20	1.53	1.4e-17	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0051234:Establishment of localization	5344	48	16.6	1.4e-17	ABCC8,ABCC9,ADCY5,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,CLCN3,COL1A1,GJD3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TBX3,TGFB1,TRPC1
BP	GO:0051480:Regulation of cytosolic calcium ion concentration	357	18	1.11	1.7e-17	ADCY5,ADRA1A,ADRA1B,ATP1A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0086064:Cell communication by electrical coupling involved in cardiac conduction	24	9	0.07	1.8e-17	ATP1A2,ATP1B1,CACNA1C,CAMK2D,GJD3,PDE4D,PRKACA,RYR2,SLC8A1
BP	GO:0030029:Actin filament-based process	764	23	2.37	1.9e-17	ATP1A2,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,CASQ2,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,MYH6,PDE4D,PPARGC1B,PRKAR1A,RYR2,SCN5A,TGFB1
BP	GO:1903169:Regulation of calcium ion transmembrane transport	152	14	0.47	2.3e-17	ATP1A2,ATP1B1,CACNA1C,CACNA2D1,CACNB2,CAMK2D,CASQ2,NPPA,PDE4D,PRKACA,RYR2,SLC8A1,TGFB1,TRPC1
BP	GO:0072507:Divalent inorganic cation homeostasis	513	20	1.59	2.9e-17	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0098659:Inorganic cation import across plasma membrane	88	12	0.27	4.1e-17	ABCC9,ATP1A2,ATP1B1,CACNA2D1,HCN4,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,SLC8A1
BP	GO:0099587:Inorganic ion import across plasma membrane	88	12	0.27	4.1e-17	ABCC9,ATP1A2,ATP1B1,CACNA2D1,HCN4,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,SLC8A1
BP	GO:1901699:Cellular response to nitrogen compound	706	22	2.19	5.8e-17	ADCY4,ADCY5,ADRB2,CACNA2D1,CASQ2,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,PDE2A,PDE4D,PPARGC1A,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0007204:Positive regulation of cytosolic calcium ion concentration	319	17	0.99	6.2e-17	ADCY5,ADRA1A,ADRA1B,ATP1A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0055082:Cellular chemical homeostasis	814	23	2.53	7.8e-17	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,KCNJ11,KCNK3,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0007267:Cell-cell signaling	1858	31	5.77	1.2e-16	ABCC8,ADCY5,ADRA1A,ADRA1B,ADRA1D,ADRB2,ATP1A2,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNA2D2,CACNB2,CASQ2,CHRM2,COL1A1,HCN4,KCNJ11,KCNJ3,KCNJ5,KCNK3,KCNN1,KCNN2,MYH6,NPPA,PRKACA,PRKAR2B,RYR2,SCN5A,TBX3
BP	GO:0010243:Response to organonitrogen compound	1053	25	3.27	1.3e-16	ADCY4,ADCY5,ADRB2,CACNA2D1,CASQ2,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,KCNJ11,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0010882:Regulation of cardiac muscle contraction by calcium ion signaling	29	9	0.09	1.3e-16	ATP1A2,ATP1B1,ATP2A2,CACNA1C,CAMK2D,CASQ2,PRKACA,RYR2,SLC8A1
BP	GO:0060401:Cytosolic calcium ion transport	176	14	0.55	1.8e-16	ADRA1A,ATP1A2,ATP2A2,CACNA1C,CACNA2D1,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0030003:Cellular cation homeostasis	654	21	2.03	2.0e-16	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:1990573:Potassium ion import across plasma membrane	48	10	0.15	2.2e-16	ABCC9,ATP1A2,ATP1B1,HCN4,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8
BP	GO:0006873:Cellular ion homeostasis	667	21	2.07	2.9e-16	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0006875:Cellular metal ion homeostasis	581	20	1.8	3.2e-16	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:1901698:Response to nitrogen compound	1134	25	3.52	7.5e-16	ADCY4,ADCY5,ADRB2,CACNA2D1,CASQ2,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,KCNJ11,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0051924:Regulation of calcium ion transport	254	15	0.79	1.2e-15	ATP1A2,ATP1B1,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,NPPA,PDE4D,PRKACA,RYR2,SLC8A1,TGFB1,TRPC1
BP	GO:0009719:Response to endogenous stimulus	1712	29	5.32	1.4e-15	ADCY4,ADCY5,ADRA1A,ADRB2,ATP1A2,CACNA1H,CACNA2D1,CASQ2,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,KCNJ11,MYH6,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0060402:Calcium ion transport into cytosol	158	13	0.49	1.6e-15	ADRA1A,ATP1A2,CACNA1C,CACNA2D1,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0098739:Import across plasma membrane	120	12	0.37	2.0e-15	ABCC9,ATP1A2,ATP1B1,CACNA2D1,HCN4,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,SLC8A1
BP	GO:0019725:Cellular homeostasis	972	23	3.02	3.6e-15	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,KCNJ11,KCNK3,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0051179:Localization	6746	50	20.96	4.1e-15	ABCC8,ABCC9,ADCY5,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,CLCN3,COL1A1,COL3A1,GJD3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,PRKAR2B,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TBX3,TGFB1,TRPC1
BP	GO:0070296:Sarcoplasmic reticulum calcium ion transport	43	9	0.13	7.3e-15	ATP1A2,ATP2A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,SLC8A1
BP	GO:0002026:Regulation of the force of heart contraction	27	8	0.08	1.1e-14	ADRA1A,ADRB1,ATP1A2,ATP2A2,CAMK2D,MYH6,RYR2,SLC8A1
BP	GO:0097553:Calcium ion transmembrane import into cytosol	140	12	0.43	1.3e-14	ATP1A2,CACNA1C,CACNA2D1,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0071495:Cellular response to endogenous stimulus	1449	26	4.5	2.2e-14	ADCY4,ADCY5,ADRB2,ATP1A2,CACNA1H,CACNA2D1,CASQ2,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,MYH6,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0032501:Multicellular organismal process	7754	52	24.09	2.3e-14	ABCC9,ADCY4,ADCY5,ADRA1A,ADRA1B,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,COL1A1,COL3A1,GJD3,HCN1,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN2,MYH6,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TBX3,TGFB1,TRPC1
BP	GO:0086011:Membrane repolarization during action potential	31	8	0.1	3.9e-14	ATP1B1,CACNA2D1,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2
BP	GO:0032412:Regulation of ion transmembrane transporter activity	260	14	0.81	4.3e-14	ADRB2,ATP1A2,ATP1B1,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNJ11,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2
BP	GO:0010880:Regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	32	8	0.1	5.2e-14	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,SLC8A1
BP	GO:0060341:Regulation of cellular localization	987	22	3.07	5.9e-14	ADCY5,ADRA1A,ATP1A2,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CHRM2,KCNH2,KCNJ11,NPPA,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TGFB1,TRPC1
BP	GO:0022898:Regulation of transmembrane transporter activity	268	14	0.83	6.5e-14	ADRB2,ATP1A2,ATP1B1,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNJ11,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2
BP	GO:0051279:Regulation of release of sequestered calcium ion into cytosol	82	10	0.25	6.7e-14	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,SLC8A1,TGFB1,TRPC1
BP	GO:0019935:Cyclic-nucleotide-mediated signaling	212	13	0.66	7.3e-14	ADCY4,ADCY5,ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB2,NPPA,PDE2A,PDE4D,PRKAR1A,PRKAR2A,PRKAR2B
BP	GO:1901700:Response to oxygen-containing compound	1681	27	5.22	8.0e-14	ADCY4,ADCY5,ADRB2,ATP1A2,ATP2A2,CACNA2D1,CHRM2,COL1A1,COL3A1,GJD3,HCN1,HCN3,HCN4,KCNJ11,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0051209:Release of sequestered calcium ion into cytosol	124	11	0.39	1.2e-13	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0032409:Regulation of transporter activity	283	14	0.88	1.4e-13	ADRB2,ATP1A2,ATP1B1,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNJ11,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2
BP	GO:0086014:Atrial cardiac muscle cell action potential	20	7	0.06	1.4e-13	CACNA1C,CACNB2,KCNJ3,KCNJ5,KCNN2,RYR2,SCN5A
BP	GO:0086026:Atrial cardiac muscle cell to AV node cell signaling	20	7	0.06	1.4e-13	CACNA1C,CACNB2,KCNJ3,KCNJ5,KCNN2,RYR2,SCN5A
BP	GO:0086066:Atrial cardiac muscle cell to AV node cell communication	20	7	0.06	1.4e-13	CACNA1C,CACNB2,KCNJ3,KCNJ5,KCNN2,RYR2,SCN5A
BP	GO:0051283:Negative regulation of sequestering of calcium ion	126	11	0.39	1.5e-13	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0014808:Release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	36	8	0.11	1.5e-13	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,SLC8A1
BP	GO:1901019:Regulation of calcium ion transmembrane transporter activity	89	10	0.28	1.6e-13	ATP1A2,ATP1B1,CACNA2D1,CACNB2,CAMK2D,CASQ2,NPPA,PDE4D,PRKACA,RYR2
BP	GO:0051282:Regulation of sequestering of calcium ion	128	11	0.4	1.8e-13	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:1903514:Release of sequestered calcium ion into cytosol by endoplasmic reticulum	37	8	0.11	1.9e-13	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,SLC8A1
BP	GO:0051208:Sequestering of calcium ion	131	11	0.41	2.3e-13	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0086005:Ventricular cardiac muscle cell action potential	38	8	0.12	2.4e-13	CACNA1C,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,RYR2,SCN5A
BP	GO:0007154:Cell communication	6698	48	20.81	2.7e-13	ABCC8,ADCY4,ADCY5,ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,COL1A1,COL3A1,GJD3,HCN4,KCNJ11,KCNJ3,KCNJ5,KCNK3,KCNN1,KCNN2,MYH6,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TBX3,TGFB1
BP	GO:1901701:Cellular response to oxygen-containing compound	1196	23	3.72	2.9e-13	ADCY4,ADCY5,ADRB2,CACNA2D1,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,KCNJ11,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0099624:Atrial cardiac muscle cell membrane repolarization	11	6	0.03	3.1e-13	CACNA1D,KCNJ3,KCNJ5,KCNN2,NPPA,SCN5A
BP	GO:0098657:Import into cell	191	12	0.59	5.5e-13	ABCC9,ATP1A2,ATP1B1,CACNA2D1,HCN4,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,SLC8A1
BP	GO:0010522:Regulation of calcium ion transport into cytosol	102	10	0.32	6.3e-13	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,SLC8A1,TGFB1,TRPC1
BP	GO:0010881:Regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	24	7	0.07	6.4e-13	ATP1A2,CACNA1C,CAMK2D,CASQ2,PRKACA,RYR2,SLC8A1
BP	GO:0086004:Regulation of cardiac muscle cell contraction	43	8	0.13	7.0e-13	ATP1A2,ATP2A2,CACNA1C,CAMK2D,HCN4,PDE4D,RYR2,SCN5A
BP	GO:0014074:Response to purine-containing compound	149	11	0.46	9.5e-13	CASQ2,COL1A1,HCN1,HCN4,KCNJ11,PDE2A,PPARGC1A,PPARGC1B,RYR2,RYR3,SLC8A1
BP	GO:1903115:Regulation of actin filament-based movement	47	8	0.15	1.5e-12	ATP1A2,ATP2A2,CACNA1C,CAMK2D,HCN4,PDE4D,RYR2,SCN5A
BP	GO:0086013:Membrane repolarization during cardiac muscle cell action potential	28	7	0.09	2.2e-12	ATP1B1,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2
BP	GO:0071407:Cellular response to organic cyclic compound	612	17	1.9	2.6e-12	ADCY5,ATP1A2,CASQ2,CHRM2,COL1A1,HCN1,HCN3,HCN4,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0099625:Ventricular cardiac muscle cell membrane repolarization	31	7	0.1	4.8e-12	CACNA2D1,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,SCN5A
BP	GO:0055119:Relaxation of cardiac muscle	16	6	0.05	5.4e-12	ATP1A2,ATP1B1,ATP2A2,CAMK2D,PDE4D,SLC8A1
BP	GO:0098900:Regulation of action potential	55	8	0.17	5.7e-12	ADRA1A,ATP2A2,CACNA1C,CACNA2D1,CAMK2D,HCN4,RYR2,SCN5A
BP	GO:0034199:Activation of protein kinase A activity	18	6	0.06	1.2e-11	ADCY4,ADCY5,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B
BP	GO:0001993:Regulation of systemic arterial blood pressure by norepinephrine-epinephrine	8	5	0.02	1.3e-11	ADRA1A,ADRA1B,ADRB1,ADRB2,PDE4D
BP	GO:0086015:SA node cell action potential	9	5	0.03	3.0e-11	CACNA1D,CACNA1G,HCN4,RYR2,SCN5A
BP	GO:0086018:SA node cell to atrial cardiac muscle cell signaling	9	5	0.03	3.0e-11	CACNA1D,CACNA1G,HCN4,RYR2,SCN5A
BP	GO:0042221:Response to chemical	4833	39	15.01	4.5e-11	ABCC8,ABCC9,ADCY4,ADCY5,ADRA1A,ADRB2,ATP1A2,ATP2A2,CACNA1G,CACNA1H,CACNA2D1,CAMK2D,CASQ2,CHRM2,COL1A1,COL3A1,GJD3,HCN1,HCN3,HCN4,KCNH2,KCNJ11,KCNK3,MYH6,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SLC8A1,TGFB1,TRPC1
BP	GO:0014070:Response to organic cyclic compound	970	19	3.01	4.6e-11	ADCY5,ATP1A2,CASQ2,CHRM2,COL1A1,HCN1,HCN3,HCN4,KCNJ11,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0006814:Sodium ion transport	218	11	0.68	6.0e-11	ADRB2,ATP1A2,ATP1B1,CAMK2D,HCN1,HCN3,HCN4,SCN5A,SCN7A,SLC8A1,TGFB1
BP	GO:0071313:Cellular response to caffeine	10	5	0.03	6.0e-11	CASQ2,PPARGC1A,RYR2,RYR3,SLC8A1
BP	GO:0086070:SA node cell to atrial cardiac muscle cell communication	10	5	0.03	6.0e-11	CACNA1D,CACNA1G,HCN4,RYR2,SCN5A
BP	GO:0051651:Maintenance of location in cell	219	11	0.68	6.3e-11	ATP1A2,CACNA1C,CAMK2D,CASQ2,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0007188:Adenylate cyclase-modulating G protein-coupled receptor signaling pathway	221	11	0.69	7.0e-11	ADCY4,ADCY5,ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB2,CACNA1D,CHRM2,PDE2A,PDE4D
BP	GO:0086016:AV node cell action potential	11	5	0.03	1.1e-10	CACNA1C,CACNA1G,CACNB2,RYR2,SCN5A
BP	GO:0086027:AV node cell to bundle of His cell signaling	11	5	0.03	1.1e-10	CACNA1C,CACNA1G,CACNB2,RYR2,SCN5A
BP	GO:0070509:Calcium ion import	80	8	0.25	1.3e-10	ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNB2,SLC8A1
BP	GO:0010460:Positive regulation of heart rate	26	6	0.08	1.5e-10	ADRA1A,ADRB1,ATP2A2,NPPA,PDE4D,RYR2
BP	GO:0071377:Cellular response to glucagon stimulus	26	6	0.08	1.5e-10	ADCY4,ADCY5,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B
BP	GO:0010033:Response to organic substance	3343	32	10.39	1.8e-10	ADCY4,ADCY5,ADRA1A,ADRB2,ATP1A2,ATP2A2,CACNA1H,CACNA2D1,CAMK2D,CASQ2,CHRM2,COL1A1,COL3A1,GJD3,HCN1,HCN3,HCN4,KCNJ11,MYH6,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:2001257:Regulation of cation channel activity	180	10	0.56	1.9e-10	ADRB2,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNJ11,NPPA,PDE4D,PPARGC1A,PRKACA
BP	GO:0086067:AV node cell to bundle of His cell communication	12	5	0.04	1.9e-10	CACNA1C,CACNA1G,CACNB2,RYR2,SCN5A
BP	GO:0070887:Cellular response to chemical stimulus	3353	32	10.42	2.0e-10	ADCY4,ADCY5,ADRB2,ATP1A2,ATP2A2,CACNA1H,CACNA2D1,CAMK2D,CASQ2,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,KCNH2,KCNJ11,KCNK3,MYH6,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SLC8A1,TGFB1
BP	GO:0042493:Response to drug	1059	19	3.29	2.0e-10	ABCC8,ABCC9,ADCY5,ADRA1A,ATP1A2,CASQ2,CHRM2,COL1A1,HCN3,KCNH2,KCNJ11,KCNK3,PDE2A,PPARGC1A,PRKAR2B,RYR2,RYR3,SLC8A1,TGFB1
BP	GO:0051649:Establishment of localization in cell	2738	29	8.51	2.2e-10	ADCY5,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CHRM2,CLCN3,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TGFB1,TRPC1
BP	GO:0051641:Cellular localization	3388	32	10.53	2.6e-10	ADCY5,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,CHRM2,CLCN3,COL1A1,KCND3,KCNH2,KCNJ11,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,PDE4D,PRKACA,PRKAR2B,RYR2,RYR3,SCN5A,SLC8A1,TGFB1,TRPC1
